CD,NM,ROE,PER,PBR,PROFIT,INCOME,FRGN_RT,END_PRC,VOL,REMAIN_BUY,REMAIN_SELL,REMAIN_BUY_AMOUNT,PRC_AVG_5,VOL_AVG_5,PRC_AVG_10,VOL_AVG_10,PRC_MEDIAN_x,VOL_MEDIAN_x,REMAIN_DEAL,PRC_MEDIAN,VOL_MEDIAN,LAST_FRGN_RT,LAST_END_PRC,LAST_PRC_AVG_5,LAST_PRC_AVG_10,VS_START_PRC,VS_HIGH_PRC,VS_HIGHEST_PRC,VS_LOW_PRC,VS_LOWEST_PRC,LAST_VOL,LAST_REMAIN_DEAL,RISING_ROE,ROE_AVG,RISING_PROFIT,RISING_FRGN_RT,RISING_REMAIN_DEAL,PRC_BASE,VOL_BASE,REMAIN_GAP_BUY_BASE
A098120,마이크로컨텍솔,"[2.77, 3.32, 19.78]","[44.81, 45.82, 15.59]","[1.22, 1.49, 2.81]","[6, 17, 79]","[8, 11, 76]","[14.71, 14.84, 14.89, 14.95, 14.88]","[10950, 11050, 11050, 11100, 11000]","[78976, 60821, 76436, 48876, 77380]","[18130, 25942, 15439, 13584, 15330]","[21199, 35191, 27759, 25567, 20349]","[0.0, 0.0, -29.0, -149.0, -56.0]","[10710, 10810, 10890, 10970, 11030]","[59011, 53828, 57262, 57763, 68775]","[10411, 10476, 10541, 10658, 10780]","[65968, 61525, 63758, 57108, 60788]","[10475, 10600, 10675, 10700, 10825]","[56974, 56974, 60328, 54213, 60328]","[0.0, 0.0, -29.0, -149.0, -56.0]",10475,56974,14.88,11000,11030,10780,100.0,101.36,97.73,48.18,142.27,77380,-56.0,Y,8.62,Y,N,N,N,Y,N
A095570,AJ네트웍스,"[15.18, -1.3, 23.75]","[5.06, -55.11, 3.3]","[0.73, 0.74, 0.67]","[156, 211, 451]","[421, -33, 767]","[4.77, 4.87, 4.8, 4.78]","[6100, 6030, 6180, 6080]","[318943, 83139, 149388, 70271]","[3743, 11125, 3566, 10876]","[28498, 10822, 7754, 9976]","[0.0, 20.0, -5.0, -8.0]","[5796, 5900, 5976, 6040]","[177442, 153172, 143967, 148895]","[5729, 5765, 5816, 5857]","[107894, 109332, 121900, 127130]","[5670, 5715, 5780, 5805]","[57387, 64439, 102746, 102746]","[0.0, 20.0, -5.0, -8.0]",5670,57387,4.78,6080,6040,5857,100.16,102.3,99.51,72.45,120.39,70271,-8.0,N,12.54,Y,N,N,N,Y,N
A282330,BGF리테일,"[26.46, 18.6, 19.61]","[19.35, 19.09, 17.03]","[4.7, 3.36, 3.11]","[1966, 1622, 1994]","[1514, 1227, 1476]","[30.94, 30.94, 30.93, 30.96, 30.96]","[178000, 179000, 180000, 180000, 181000]","[35341, 28891, 32656, 37136, 32534]","[5463, 8639, 4561, 5585, 5453]","[10323, 10691, 9435, 7259, 10789]","[0.0, 0.0, 0.0, 0.0, -740.0]","[176500, 177700, 177900, 178900, 179600]","[55710, 53436, 40016, 35030, 33326]","[173600, 174750, 175700, 176750, 177350]","[65644, 62454, 56428, 52710, 46458]","[174000, 175000, 176250, 177750, 178500]","[61437, 58402, 47897, 40668, 38709]","[0.0, 0.0, 0.0, 0.0, -740.0]",174000,61437,30.91,173000,178000,177850,102.31,103.18,99.13,78.9,111.56,34373,593.0,N,21.56,N,N,Y,Y,N,Y
A000995,DB하이텍1우,"[17.39, 23.07, 33.35]","[11.74, 13.67, 10.21]","[1.86, 2.79, 2.86]","[1813, 2393, 3991]","[1046, 1660, 3169]","[1.07, 1.07, 1.07, 1.07, 1.07]","[95000, 94800, 94100, 94800, 94700]","[143, 89, 90, 189, 171]","[160, 104, 138, 126, 423]","[143, 272, 102, 115, 242]","[0.0, 0.0, 0.0, 0.0, 13.0]","[93280, 93840, 94220, 94480, 94680]","[312, 265, 240, 169, 136]","[93800, 93780, 93810, 93820, 93790]","[313, 305, 290, 278, 275]","[93750, 93750, 93900, 93900, 93900]","[274, 274, 261, 205, 200]","[0.0, 0.0, 0.0, 0.0, 13.0]",93750,274,1.07,96600,95080,94460,99.38,100.31,99.38,93.17,148.03,332,-18.0,Y,24.6,Y,Y,Y,N,Y,N
A000990,DB하이텍,"[17.39, 23.07, 33.35]","[11.74, 13.67, 10.21]","[1.86, 2.79, 2.86]","[1813, 2393, 3991]","[1046, 1660, 3169]","[23.88, 23.79, 23.79, 24.05, 24.09]","[72500, 72600, 74900, 76600, 76000]","[1502060, 655794, 1191182, 837589, 998870]","[72702, 61412, 35536, 15432, 62391]","[23124, 45575, 108047, 52831, 29007]","[0.0, 0.0, 0.0, 0.0, 1812.0]","[70580, 71480, 72660, 73700, 74520]","[874933, 913617, 1044957, 971398, 1046020]","[69790, 70270, 70980, 71520, 72130]","[920871, 910818, 910735, 860168, 881717]","[69450, 70550, 71300, 71650, 72200]","[784288, 760318, 760318, 760318, 787426]","[0.0, 0.0, 0.0, 0.0, 1812.0]",69450,784288,24.19,76600,76140,73810,101.17,101.57,99.35,64.23,111.49,500377,-355.0,Y,24.6,Y,N,Y,N,N,N
A000215,DL우,"[11.74, 11.84, 26.52]","[5.25, 6.34, 1.47]","[0.59, 1.24, 0.35]","[1360, 1190, 2219]","[7103, 5727, 8750]","[7.2, 7.2, 7.19, 7.19, 7.19]","[37550, 37650, 37650, 37650, 37850]","[1393, 945, 1773, 553, 2035]","[530, 1418, 735, 813, 1097]","[1045, 1204, 1276, 932, 1008]","[0.0, 0.0, 0.0, 0.0, 15.0]","[37260, 37420, 37520, 37570, 37670]","[886, 831, 1011, 1038, 1382]","[36885, 37045, 37215, 37320, 37410]","[936, 745, 833, 866, 1044]","[36975, 37075, 37250, 37375, 37475]","[700, 700, 700, 713, 909]","[0.0, 0.0, 0.0, 0.0, 15.0]",36975,700,7.18,39150,38180,37800,98.6,100.13,98.6,84.16,161.43,3463,-19.0,Y,16.7,N,N,Y,N,Y,N
A001880,DL건설,"[23.04, 23.71, 19.95]","[3.17, 3.94, 3.6]","[0.66, 0.89, 0.66]","[1430, 2034, 2296]","[951, 1493, 1756]","[2.12, 2.16, 2.17, 2.17, 2.17]","[29700, 29700, 29800, 29800, 29650]","[42403, 23972, 15320, 23337, 32490]","[4051, 3194, 1927, 1065, 2805]","[4188, 3925, 4156, 4416, 4212]","[0.0, 0.0, 0.0, 0.0, 4.0]","[30110, 30190, 30010, 29890, 29730]","[45787, 45151, 32280, 27664, 28123]","[29590, 29715, 29925, 29980, 29950]","[46760, 46642, 45972, 42303, 39693]","[29825, 29825, 29875, 29875, 29800]","[44486, 44506, 44506, 37312, 32335]","[0.0, 0.0, 0.0, 0.0, 4.0]",29825,44486,2.18,29550,29760,29975,101.52,101.52,99.83,82.4,130.29,24949,39.0,N,22.23,Y,Y,Y,Y,N,Y
A000210,DL,"[11.74, 11.84, 26.52]","[5.25, 6.34, 1.47]","[0.59, 1.24, 0.35]","[1360, 1190, 2219]","[7103, 5727, 8750]","[12.25, 12.25, 12.28, 12.34, 12.32]","[59700, 59800, 60000, 59300, 58600]","[28877, 37962, 37640, 56771, 125837]","[11276, 9243, 6059, 11092, 11334]","[4356, 8952, 7509, 5937, 4996]","[0.0, 0.0, 0.0, 0.0, 307.0]","[59440, 59680, 59700, 59640, 59480]","[40217, 41444, 41645, 43808, 58328]","[58920, 59160, 59450, 59480, 59420]","[50379, 42769, 40889, 40755, 50596]","[59250, 59350, 59500, 59500, 59500]","[44056, 40038, 37896, 37917, 40133]","[0.0, 0.0, 0.0, 0.0, 307.0]",59250,44056,12.19,60000,59540,59610,99.83,101.33,99.33,89.83,178.33,79581,-6.0,Y,16.7,N,N,Y,N,Y,N
A007700,F&F홀딩스,"[25.13, 16.59, 153.88]","[15.65, 15.15, 0.38]","[3.56, 2.35, 0.67]","[1507, -44, 2231]","[1099, 854, 20180]","[0.65, 0.65, 0.66, 0.73, 0.7]","[26300, 26350, 27650, 27000, 26900]","[33568, 24347, 90344, 60247, 23339]","[12308, 11141, 2371, 7256, 6710]","[5592, 4765, 10123, 1956, 3992]","[0.0, 0.0, -163.0, 162.0, 69.0]","[26220, 26280, 26610, 26720, 26840]","[61149, 61821, 45791, 50104, 46939]","[26195, 26145, 26225, 26330, 26465]","[43209, 44165, 51973, 53779, 53108]","[26175, 26175, 26175, 26300, 26325]","[31866, 31938, 36499, 36499, 36499]","[0.0, 0.0, -163.0, 162.0, 69.0]",26175,31866,0.7,26900,26840,26465,100.37,100.93,99.44,88.66,671.0,23339,69.0,N,65.2,N,N,N,N,N,Y
A078935,GS우,"[6.26, -2.81, 15.54]","[8.98, -14.65, 2.56]","[0.55, 0.43, 0.36]","[20331, 9206, 26403]","[6689, -1878, 16147]","[9.55, 9.55, 9.55, 9.55, 9.55]","[34600, 34650, 34950, 34850, 34650]","[1112, 2540, 2432, 2492, 2584]","[762, 1391, 983, 1434, 1258]","[1353, 1097, 446, 2876, 1259]","[0.0, 0.0, 0.0, 0.0, -4.0]","[34530, 34590, 34680, 34730, 34740]","[2206, 2195, 1887, 1908, 2232]","[34545, 34535, 34580, 34620, 34635]","[2546, 2257, 2335, 2401, 2304]","[34550, 34550, 34600, 34600, 34600]","[2177, 2177, 2410, 2462, 2463]","[0.0, 0.0, 0.0, 0.0, -4.0]",34550,2177,9.56,35100,34970,34780,99.15,100.57,99.15,91.17,121.79,4112,-12.0,N,6.33,N,Y,Y,N,Y,N
