CD,NM,ROE,PER,PBR,PROFIT,INCOME,FRGN_RT,END_PRC,VOL,REMAIN_BUY,REMAIN_SELL,REMAIN_BUY_AMOUNT,PRC_AVG_5,VOL_AVG_5,PRC_AVG_10,VOL_AVG_10,PRC_MEDIAN_x,VOL_MEDIAN_x,REMAIN_DEAL,PRC_MEDIAN,VOL_MEDIAN,LAST_FRGN_RT,LAST_END_PRC,LAST_PRC_AVG_5,LAST_PRC_AVG_10,VS_START_PRC,VS_HIGH_PRC,VS_HIGHEST_PRC,VS_LOW_PRC,VS_LOWEST_PRC,LAST_VOL,LAST_REMAIN_DEAL,RISING_ROE,ROE_AVG,RISING_PROFIT,RISING_FRGN_RT,RISING_REMAIN_DEAL,PRC_BASE,VOL_BASE,REMAIN_GAP_BUY_BASE
A098120,마이크로컨텍솔,"[2.77, 3.32, 19.78]","[44.81, 45.82, 15.59]","[1.22, 1.49, 2.81]","[6, 17, 79]","[8, 11, 76]","[14.71, 14.84, 14.89, 14.95, 14.88]","[10950, 11050, 11050, 11100, 11000]","[78976, 60821, 76436, 48876, 77380]","[18130, 25942, 15439, 13584, 15330]","[21199, 35191, 27759, 25567, 20349]","[0.0, 0.0, -29.0, -149.0, -56.0]","[10710, 10810, 10890, 10970, 11030]","[59011, 53828, 57262, 57763, 68775]","[10411, 10476, 10541, 10658, 10780]","[65968, 61525, 63758, 57108, 60788]","[10475, 10600, 10675, 10700, 10825]","[56974, 56974, 60328, 54213, 60328]","[0.0, 0.0, -29.0, -149.0, -56.0]",10475,56974,15.04,11350,11160,10985,98.68,100.88,96.92,46.7,137.89,70910,-17.0,Y,8.62,Y,N,N,N,Y,N
A095570,AJ네트웍스,"[15.18, -1.3, 23.75]","[5.06, -55.11, 3.3]","[0.73, 0.74, 0.67]","[156, 211, 451]","[421, -33, 767]","[4.77, 4.87, 4.8, 4.78, 4.77]","[6100, 6030, 6180, 6080, 6170]","[318943, 83139, 149388, 70271, 79039]","[3743, 11125, 3566, 10876, 6284]","[28498, 10822, 7754, 9976, 3122]","[0.0, 20.0, -5.0, -8.0, 9.0]","[5796, 5900, 5976, 6040, 6112]","[177442, 153172, 143967, 148895, 140244]","[5729, 5765, 5816, 5857, 5909]","[107894, 109332, 121900, 127130, 131258]","[5670, 5715, 5780, 5805, 5920]","[57387, 64439, 102746, 102746, 102746]","[0.0, 20.0, -5.0, -8.0, 9.0]",5670,57387,4.76,6190,6130,5963,99.68,100.48,98.55,72.37,118.26,57249,-3.0,N,12.54,Y,N,N,N,N,N
A282330,BGF리테일,"[26.46, 18.6, 19.61]","[19.35, 19.09, 17.03]","[4.7, 3.36, 3.11]","[1966, 1622, 1994]","[1514, 1227, 1476]","[30.94, 30.94, 30.93, 30.96, 30.96]","[178000, 179000, 180000, 180000, 181000]","[35341, 28891, 32656, 37136, 32534]","[5463, 8639, 4561, 5585, 5453]","[10323, 10691, 9435, 7259, 10789]","[0.0, 0.0, 0.0, 0.0, -740.0]","[176500, 177700, 177900, 178900, 179600]","[55710, 53436, 40016, 35030, 33326]","[173600, 174750, 175700, 176750, 177350]","[65644, 62454, 56428, 52710, 46458]","[174000, 175000, 176250, 177750, 178500]","[61437, 58402, 47897, 40668, 38709]","[0.0, 0.0, 0.0, 0.0, -740.0]",174000,61437,30.93,174500,175600,177250,99.14,101.72,98.85,78.22,110.6,30538,643.0,N,21.56,N,N,Y,N,N,Y
A000995,DB하이텍1우,"[17.39, 23.07, 33.35]","[11.74, 13.67, 10.21]","[1.86, 2.79, 2.86]","[1813, 2393, 3991]","[1046, 1660, 3169]","[1.07, 1.07, 1.07, 1.07, 1.07]","[95000, 94800, 94100, 94800, 94700]","[143, 89, 90, 189, 171]","[160, 104, 138, 126, 423]","[143, 272, 102, 115, 242]","[0.0, 0.0, 0.0, 0.0, 13.0]","[93280, 93840, 94220, 94480, 94680]","[312, 265, 240, 169, 136]","[93800, 93780, 93810, 93820, 93790]","[313, 305, 290, 278, 275]","[93750, 93750, 93900, 93900, 93900]","[274, 274, 261, 205, 200]","[0.0, 0.0, 0.0, 0.0, 13.0]",93750,274,1.07,99400,97480,95980,102.11,102.11,99.5,90.54,143.86,792,17.0,Y,24.6,Y,Y,Y,N,Y,Y
A000990,DB하이텍,"[17.39, 23.07, 33.35]","[11.74, 13.67, 10.21]","[1.86, 2.79, 2.86]","[1813, 2393, 3991]","[1046, 1660, 3169]","[23.88, 23.79, 23.79, 24.05, 24.09]","[72500, 72600, 74900, 76600, 76000]","[1502060, 655794, 1191182, 837589, 998870]","[72702, 61412, 35536, 15432, 62391]","[23124, 45575, 108047, 52831, 29007]","[0.0, 0.0, 0.0, 0.0, 1812.0]","[70580, 71480, 72660, 73700, 74520]","[874933, 913617, 1044957, 971398, 1046020]","[69790, 70270, 70980, 71520, 72130]","[920871, 910818, 910735, 860168, 881717]","[69450, 70550, 71300, 71650, 72200]","[784288, 760318, 760318, 760318, 787426]","[0.0, 0.0, 0.0, 0.0, 1812.0]",69450,784288,24.37,74900,76180,74940,101.47,101.74,99.2,65.69,114.02,1071312,926.0,Y,24.6,Y,N,Y,N,Y,Y
A000215,DL우,"[11.74, 11.84, 26.52]","[5.25, 6.34, 1.47]","[0.59, 1.24, 0.35]","[1360, 1190, 2219]","[7103, 5727, 8750]","[7.2, 7.2, 7.19, 7.19, 7.19]","[37550, 37650, 37650, 37650, 37850]","[1393, 945, 1773, 553, 2035]","[530, 1418, 735, 813, 1097]","[1045, 1204, 1276, 932, 1008]","[0.0, 0.0, 0.0, 0.0, 15.0]","[37260, 37420, 37520, 37570, 37670]","[886, 831, 1011, 1038, 1382]","[36885, 37045, 37215, 37320, 37410]","[936, 745, 833, 866, 1044]","[36975, 37075, 37250, 37375, 37475]","[700, 700, 700, 713, 909]","[0.0, 0.0, 0.0, 0.0, 15.0]",36975,700,7.18,39550,38850,38210,98.86,100.63,98.74,83.31,159.8,1341,-31.0,Y,16.7,N,N,Y,N,Y,N
A001880,DL건설,"[23.04, 23.71, 19.95]","[3.17, 3.94, 3.6]","[0.66, 0.89, 0.66]","[1430, 2034, 2296]","[951, 1493, 1756]","[2.12, 2.16, 2.17, 2.17, 2.17]","[29700, 29700, 29800, 29800, 29650]","[42403, 23972, 15320, 23337, 32490]","[4051, 3194, 1927, 1065, 2805]","[4188, 3925, 4156, 4416, 4212]","[0.0, 0.0, 0.0, 0.0, 4.0]","[30110, 30190, 30010, 29890, 29730]","[45787, 45151, 32280, 27664, 28123]","[29590, 29715, 29925, 29980, 29950]","[46760, 46642, 45972, 42303, 39693]","[29825, 29825, 29875, 29875, 29800]","[44486, 44506, 44506, 37312, 32335]","[0.0, 0.0, 0.0, 0.0, 4.0]",29825,44486,2.17,29200,29570,29730,100.86,101.71,100.0,83.39,131.85,16819,9.0,N,22.23,Y,Y,Y,Y,N,Y
A000210,DL,"[11.74, 11.84, 26.52]","[5.25, 6.34, 1.47]","[0.59, 1.24, 0.35]","[1360, 1190, 2219]","[7103, 5727, 8750]","[12.25, 12.25, 12.28, 12.34, 12.32]","[59700, 59800, 60000, 59300, 58600]","[28877, 37962, 37640, 56771, 125837]","[11276, 9243, 6059, 11092, 11334]","[4356, 8952, 7509, 5937, 4996]","[0.0, 0.0, 0.0, 0.0, 307.0]","[59440, 59680, 59700, 59640, 59480]","[40217, 41444, 41645, 43808, 58328]","[58920, 59160, 59450, 59480, 59420]","[50379, 42769, 40889, 40755, 50596]","[59250, 59350, 59500, 59500, 59500]","[44056, 40038, 37896, 37917, 40133]","[0.0, 0.0, 0.0, 0.0, 307.0]",59250,44056,11.98,61200,59800,59720,97.06,100.0,96.57,88.07,174.84,75101,-318.0,Y,16.7,N,N,Y,N,Y,N
A007700,F&F홀딩스,"[25.13, 16.59, 153.88]","[15.65, 15.15, 0.38]","[3.56, 2.35, 0.67]","[1507, -44, 2231]","[1099, 854, 20180]","[0.65, 0.65, 0.66, 0.73, 0.7]","[26300, 26350, 27650, 27000, 26900]","[33568, 24347, 90344, 60247, 23339]","[12308, 11141, 2371, 7256, 6710]","[5592, 4765, 10123, 1956, 3992]","[0.0, 0.0, -163.0, 162.0, 69.0]","[26220, 26280, 26610, 26720, 26840]","[61149, 61821, 45791, 50104, 46939]","[26195, 26145, 26225, 26330, 26465]","[43209, 44165, 51973, 53779, 53108]","[26175, 26175, 26175, 26300, 26325]","[31866, 31938, 36499, 36499, 36499]","[0.0, 0.0, -163.0, 162.0, 69.0]",26175,31866,0.68,27350,27190,26735,97.99,100.73,97.81,87.2,659.96,29904,-48.0,N,65.2,N,N,N,N,N,N
A078935,GS우,"[6.26, -2.81, 15.54]","[8.98, -14.65, 2.56]","[0.55, 0.43, 0.36]","[20331, 9206, 26403]","[6689, -1878, 16147]","[9.55, 9.55, 9.55, 9.55, 9.55]","[34600, 34650, 34950, 34850, 34650]","[1112, 2540, 2432, 2492, 2584]","[762, 1391, 983, 1434, 1258]","[1353, 1097, 446, 2876, 1259]","[0.0, 0.0, 0.0, 0.0, -4.0]","[34530, 34590, 34680, 34730, 34740]","[2206, 2195, 1887, 1908, 2232]","[34545, 34535, 34580, 34620, 34635]","[2546, 2257, 2335, 2401, 2304]","[34550, 34550, 34600, 34600, 34600]","[2177, 2177, 2410, 2462, 2463]","[0.0, 0.0, 0.0, 0.0, -4.0]",34550,2177,9.61,35400,35110,34920,99.15,100.28,98.87,91.24,120.76,5002,-32.0,N,6.33,N,Y,Y,N,Y,N
